" ","CRS","Município","Doses destinadas","Doses aplicadas","% aplicado","1ª dose","2ª dose","Dose única","Não residentes vacinados","População geral","% pop. pelo menos uma dose","% pop. esquema vacinal completo"
"+ Detalhes","11","432163 - Três Arroios","3528","3474","98,5%","2119","1290","65","241 (7,1%)","2668","85.0% (2267)","50.8% (1356)"
"+ Detalhes","11","432290 - Viadutos","5974","5909","98,9%","3623","2172","114","383 (6,6%)","4756","81.2% (3862)","48.6% (2311)"
"+ Detalhes","12","430250 - Bossoroca","7354","7121","96,8%","4372","2585","164","1070 (15,4%)","6279","70.8% (4445)","41.0% (2572)"
"+ Detalhes","12","430330 - Caibaté","6064","6038","99,6%","3620","2298","120","505 (8,5%)","4846","80.3% (3890)","50.8% (2460)"
"+ Detalhes","12","430520 - Cerro Largo","15497","15167","97,9%","9360","5438","369","671 (4,5%)","14133","76.0% (10738)","43.5% (6154)"
"+ Detalhes","12","430635 - Dezesseis de Novembro","3137","2872","91,6%","1788","1018","66","191 (6,8%)","2427","85.0% (2063)","47.0% (1140)"
"+ Detalhes","12","430693 - Entre-Ijuís","10143","8454","83,3%","5506","2753","195","1038 (12,6%)","8475","72.3% (6125)","35.9% (3046)"
"+ Detalhes","12","430783 - Eugênio de Castro","3374","3103","92,0%","1996","1053","54","345 (11,3%)","2396","86.0% (2061)","44.4% (1063)"
"+ Detalhes","12","430865 - Garruchos","3565","3364","94,4%","2156","1138","70","448 (13,6%)","2924","76.9% (2250)","40.3% (1179)"
"+ Detalhes","12","430950 - Guarani das Missões","9726","8598","88,4%","5434","2973","191","729 (8,7%)","7537","75.4% (5682)","42.0% (3163)"
"+ Detalhes","12","431217 - Mato Queimado","2136","2068","96,8%","1265","735","68","263 (13,2%)","1648","79.7% (1313)","46.2% (762)"
"+ Detalhes","12","431455 - Pirapó","3555","3029","85,2%","1906","1063","60","190 (6,4%)","2304","91.1% (2100)","50.7% (1168)"
"+ Detalhes","12","431510 - Porto Xavier","12411","11674","94,1%","7404","4016","254","1445 (12,7%)","10246","70.1% (7181)","40.3% (4134)"
"+ Detalhes","12","431595 - Rolador","2944","2916","99,0%","1810","1053","53","627 (21,9%)","2323","69.6% (1616)","41.8% (971)"
"+ Detalhes","12","431630 - Roque Gonzales","8386","7546","90,0%","5052","2339","155","571 (7,7%)","6847","80.2% (5490)","38.9% (2661)"
"+ Detalhes","12","431647 - Salvador das Missões","3774","3596","95,3%","2290","1231","75","191 (5,4%)","2733","92.8% (2537)","49.9% (1363)"
"+ Detalhes","12","431750 - Santo Ângelo","86206","85830","99,6%","53000","30592","2238","6262 (7,5%)","77593","72.2% (55993)","43.2% (33515)"
"+ Detalhes","12","431770 - Santo Antônio das Missões","12561","10879","86,6%","7395","3228","256","1546 (14,6%)","10175","75.5% (7686)","34.9% (3547)"
"+ Detalhes","12","431800 - São Borja","70366","68940","98,0%","44527","22725","1688","7148 (10,6%)","60282","74.7% (45005)","39.5% (23822)"
"+ Detalhes","12","431890 - São Luiz Gonzaga","39522","36348","92,0%","23243","12127","978","3007 (8,5%)","33468","76.7% (25661)","40.8% (13668)"
"+ Detalhes","12","431915 - São Miguel das Missões","9071","7941","87,5%","5157","2603","181","586 (7,6%)","7673","71.1% (5457)","36.8% (2827)"
"+ Detalhes","12","431920 - São Nicolau","6376","5867","92,0%","3809","1928","130","621 (10,8%)","5265","76.3% (4015)","38.9% (2046)"
"+ Detalhes","12","431937 - São Pedro do Butiá","3917","3597","91,8%","2321","1216","60","153 (4,3%)","2947","89.1% (2626)","44.5% (1310)"
"+ Detalhes","12","432057 - Sete de Setembro","2613","2476","94,8%","1526","900","50","272 (11,2%)","1970","79.0% (1556)","46.8% (921)"
"+ Detalhes","12","432234 - Ubiretama","2514","2403","95,6%","1531","823","49","196 (8,3%)","2015","78.9% (1590)","42.6% (859)"
"+ Detalhes","12","432375 - Vitória das Missões","4258","3677","86,4%","2239","1353","85","247 (6,9%)","3133","79.2% (2481)","46.8% (1466)"
"+ Detalhes","13","430420 - Candelária","33019","28010","84,8%","19378","7816","816","1021 (3,8%)","31365","66.5% (20848)","28.5% (8935)"
"+ Detalhes","13","430915 - Gramado Xavier","4263","2878","67,5%","1990","787","101","199 (7,2%)","4325","50.4% (2180)","21.0% (908)"
"+ Detalhes","13","430957 - Herveiras","3057","2861","93,6%","1897","889","75","312 (11,2%)","3018","64.4% (1943)","30.8% (930)"
"+ Detalhes","13","431215 - Mato Leitão","5416","5065","93,5%","3318","1607","140","413 (8,4%)","4515","77.0% (3478)","39.0% (1760)"
"+ Detalhes","13","431395 - Pantano Grande","11030","10508","95,3%","7111","3173","224","1323 (12,9%)","9174","78.8% (7230)","36.2% (3318)"
"+ Detalhes","13","431407 - Passo do Sobrado","7185","6684","93,0%","4245","2280","159","577 (8,8%)","6535","68.5% (4474)","37.9% (2474)"
"+ Detalhes","13","431570 - Rio Pardo","43111","39986","92,8%","25050","14067","869","4084 (10,4%)","38275","65.4% (25038)","38.1% (14578)"
"+ Detalhes","13","431680 - Santa Cruz do Sul","150726","134084","89,0%","88053","42366","3665","11249 (8,6%)","130416","70.3% (91679)","35.0% (45676)"
"+ Detalhes","13","432067 - Sinimbu","11650","9932","85,3%","6336","3365","231","1080 (11,1%)","10172","59.9% (6089)","33.0% (3354)"
"+ Detalhes","13","432252 - Vale Verde","4126","3637","88,1%","2381","1167","89","314 (8,9%)","3497","70.3% (2460)","34.6% (1209)"
"+ Detalhes","13","432253 - Vale do Sol","12557","10753","85,6%","7234","3225","294","739 (7,1%)","11781","62.3% (7345)","29.2% (3445)"
"+ Detalhes","13","432260 - Venâncio Aires","78458","75464","96,2%","47518","25773","2173","5049 (6,9%)","71554","68.0% (48653)","37.9% (27132)"
"+ Detalhes","13","432270 - Vera Cruz","29136","26179","89,9%","17906","7554","719","2342 (9,2%)","26863","68.5% (18400)","31.5% (8475)"
"+ Detalhes","14","430030 - Alecrim","8163","7678","94,1%","4940","2603","135","758 (10,0%)","5950","86.1% (5121)","46.2% (2751)"
"+ Detalhes","14","430045 - Alegria","4701","4150","88,3%","2728","1341","81","336 (8,3%)","3464","86.2% (2986)","43.0% (1489)"
"+ Detalhes","14","430220 - Boa Vista do Buricá","8055","8032","99,7%","5029","2822","181","814 (10,4%)","6712","77.2% (5183)","43.8% (2938)"
"+ Detalhes","14","430370 - Campina das Missões","7690","6607","85,9%","4052","2416","139","473 (7,3%)","5474","81.2% (4447)","48.8% (2673)"
"+ Detalhes","14","430430 - Cândido Godói","8258","6764","81,9%","4390","2235","139","387 (5,8%)","6198","76.4% (4737)","40.2% (2491)"
"+ Detalhes","14","430673 - Doutor Maurício Cardoso","6318","5395","85,4%","3463","1826","106","465 (8,8%)","4549","78.3% (3564)","42.7% (1941)"
"+ Detalhes","14","430900 - Giruá","18312","16876","92,2%","10696","5784","396","1858 (11,3%)","16004","69.1% (11055)","38.3% (6122)"
"+ Detalhes","14","430960 - Horizontina","23596","18960","80,4%","13161","5317","482","1561 (8,4%)","19329","72.0% (13910)","30.8% (5958)"
"+ Detalhes","14","431040 - Independência","7268","6931","95,4%","4555","2238","138","1078 (15,9%)","6167","72.4% (4464)","36.7% (2264)"
"+ Detalhes","14","431301 - Nova Candelária","3754","3116","83,0%","2080","941","95","277 (9,2%)","2698","77.8% (2099)","37.8% (1021)"
"+ Detalhes","14","431342 - Novo Machado","4387","3819","87,1%","2466","1266","87","106 (2,8%)","3323","76.6% (2544)","41.2% (1368)"
"+ Detalhes","14","431500 - Porto Lucena","6499","6156","94,7%","3633","2407","116","583 (9,7%)","4678","79.7% (3728)","53.0% (2481)"
"+ Detalhes","14","431505 - Porto Mauá","3352","2982","89,0%","1840","1098","44","348 (11,8%)","2374","77.0% (1827)","47.0% (1116)"
"+ Detalhes","14","431507 - Porto Vera Cruz","2046","2054","100,4%","1368","655","31","207 (10,2%)","1360","106.6% (1450)","53.2% (723)"
"+ Detalhes","14","431720 - Santa Rosa","83991","80631","96,0%","51406","26965","2260","10589 (13,5%)","73254","69.3% (50747)","37.5% (27434)"
"+ Detalhes","14","431790 - Santo Cristo","18531","15863","85,6%","10451","5027","385","920 (5,9%)","14257","80.8% (11513)","40.3% (5745)"
"+ Detalhes","14","431849 - São José do Inhacorá","2882","2969","103,0%","1812","1099","58","42 (1,4%)","2073","102.1% (2116)","60.8% (1260)"
"+ Detalhes","14","431930 - São Paulo das Missões","6985","6936","99,3%","4296","2495","145","546 (8,0%)","5790","76.9% (4451)","45.6% (2641)"
"+ Detalhes","14","432032 - Senador Salgado Filho","3114","3167","101,7%","1939","1159","69","279 (9,0%)","2779","73.8% (2052)","44.1% (1225)"
"+ Detalhes","14","432180 - Três de Maio","30451","26257","86,2%","17484","8157","616","3270 (12,8%)","23906","73.1% (17483)","36.0% (8596)"
"+ Detalhes","14","432210 - Tucunduva","7150","6261","87,6%","4009","2122","130","169 (2,8%)","5678","83.2% (4726)","44.2% (2508)"
"+ Detalhes","14","432230 - Tuparendi","10501","10663","101,5%","6505","3961","197","821 (7,8%)","7893","87.5% (6906)","53.6% (4230)"
"+ Detalhes","15","430195 - Barra Funda","3218","3052","94,8%","1860","1127","65","510 (17,1%)","2539","75.5% (1918)","44.9% (1139)"
"+ Detalhes","15","430215 - Boa Vista das Missões","2343","2135","91,1%","1404","680","51","163 (7,8%)","2098","81.5% (1709)","39.1% (820)"
"+ Detalhes","15","430260 - Braga","3799","3419","90,0%","2296","1038","85","185 (5,5%)","3353","77.8% (2607)","36.4% (1222)"
"+ Detalhes","15","430515 - Cerro Grande","3067","2643","86,2%","1727","856","60","150 (5,8%)","2311","83.4% (1927)","41.8% (967)"
"+ Detalhes","15","430530 - Chapada","12156","9998","82,2%","6713","3040","245","438 (4,5%)","9269","78.2% (7250)","37.0% (3426)"
"+ Detalhes","15","430580 - Constantina","12416","11073","89,2%","7434","3404","235","1790 (16,5%)","9911","70.3% (6971)","34.3% (3401)"
"+ Detalhes","15","430590 - Coronel Bicaco","7984","5934","74,3%","4104","1656","174","509 (8,8%)","7325","61.7% (4520)","26.0% (1904)"
"+ Detalhes","15","430642 - Dois Irmãos das Missões","2482","2070","83,4%","1379","644","47","194 (9,6%)","2026","71.2% (1443)","34.1% (690)"
"+ Detalhes","15","430692 - Engenho Velho","1958","1844","94,2%","1041","778","25","225 (12,4%)","1034","113.3% (1172)","82.2% (850)"
"+ Detalhes","15","430912 - Gramado dos Loureiros","3199","2916","91,2%","1806","1055","55","517 (18,1%)","2082","81.7% (1701)","49.6% (1032)"
"+ Detalhes","15","431085 - Jaboticaba","4524","4228","93,5%","2640","1487","101","393 (9,5%)","3810","73.6% (2804)","41.5% (1583)"
"+ Detalhes","15","431142 - Lajeado do Bugre","2950","2416","81,9%","1537","814","65","331 (14,1%)","2564","62.4% (1599)","34.4% (882)"
"+ Detalhes","15","431230 - Miraguaí","5488","4624","84,3%","3083","1430","111","505 (11,2%)","4925","64.9% (3195)","32.6% (1605)"
"+ Detalhes","15","431295 - Nova Boa Vista","2453","2554","104,1%","1598","911","45","132 (5,3%)","1775","102.9% (1826)","56.5% (1002)"
"+ Detalhes","15","431346 - Novo Xingu","2156","2189","101,5%","1286","852","51","175 (8,2%)","1719","81.8% (1406)","51.5% (885)"
"+ Detalhes","15","431349 - Novo Barreiro","4989","4787","96,0%","3014","1663","110","407 (8,7%)","4164","76.4% (3180)","42.7% (1776)"
"+ Detalhes","15","431370 - Palmeira das Missões","39768","36769","92,5%","23046","12823","900","3375 (9,4%)","33303","71.9% (23948)","40.7% (13547)"
"+ Detalhes","15","431540 - Redentora","12422","9576","77,1%","5770","3585","221","1438 (15,4%)","11549","47.5% (5490)","29.3% (3382)"
"+ Detalhes","15","431610 - Ronda Alta","12241","11098","90,7%","6813","4050","235","846 (7,8%)","10601","68.6% (7277)","40.7% (4313)"
"+ Detalhes","15","431620 - Rondinha","6620","6530","98,6%","3936","2463","131","383 (6,0%)","5130","83.3% (4271)","51.1% (2621)"
"+ Detalhes","15","431642 - Sagrada Família","3010","2868","95,3%","1736","1067","65","187 (6,7%)","2609","72.7% (1898)","44.2% (1153)"
"+ Detalhes","15","431845 - São José das Missões","3089","2859","92,6%","1799","1006","54","311 (11,1%)","2537","72.2% (1832)","40.2% (1021)"
"+ Detalhes","15","431936 - São Pedro das Missões","2411","2330","96,6%","1376","899","55","218 (9,6%)","2009","70.6% (1418)","47.1% (947)"
"+ Detalhes","15","432010 - Sarandi","25674","21044","82,0%","14483","5873","688","2534 (12,4%)","24489","60.1% (14724)","27.2% (6653)"
"+ Detalhes","15","432185 - Três Palmeiras","5545","5125","92,4%","3247","1772","106","589 (11,7%)","4271","76.2% (3254)","42.2% (1801)"
"+ Detalhes","15","432195 - Trindade do Sul","7073","6496","91,8%","4320","2025","151","391 (6,2%)","5802","80.8% (4686)","39.2% (2274)"
"+ Detalhes","16","430070 - Anta Gorda","7282","6332","87,0%","4263","1935","134","376 (6,1%)","5981","73.3% (4386)","34.8% (2079)"
"+ Detalhes","16","430100 - Arroio do Meio","23531","23042","97,9%","14723","7730","589","1873 (8,3%)","20805","74.1% (15418)","39.4% (8192)"
"+ Detalhes","16","430240 - Bom Retiro do Sul","13155","12164","92,5%","8010","3839","315","1006 (8,5%)","12328","69.8% (8601)","35.1% (4326)"
"+ Detalhes","16","430245 - Boqueirão do Leão","7428","6626","89,2%","4504","1921","201","376 (5,9%)","7714","63.5% (4899)","28.5% (2197)"
"+ Detalhes","16","430461 - Canudos do Vale","2160","2101","97,3%","1365","691","45","126 (6,1%)","1716","82.7% (1419)","42.1% (722)"
"+ Detalhes","16","430469 - Capitão","3495","3072","87,9%","1918","1084","70","271 (9,0%)","2757","71.7% (1978)","41.3% (1138)"
"+ Detalhes","16","430558 - Colinas","3332","2706","81,2%","1679","967","60","143 (5,4%)","2438","76.2% (1857)","43.8% (1069)"
"+ Detalhes","16","430583 - Coqueiro Baixo","2090","1968","94,2%","1158","770","40","83 (4,3%)","1501","82.7% (1241)","53.8% (808)"
"+ Detalhes","16","430620 - Cruzeiro do Sul","14712","11493","78,1%","7934","3230","329","821 (7,4%)","12348","68.3% (8438)","29.9% (3695)"
"+ Detalhes","16","430645 - Dois Lajeados","4226","4067","96,2%","2510","1472","85","352 (8,8%)","3400","75.9% (2579)","45.3% (1539)"
"+ Detalhes","16","430675 - Doutor Ricardo","2584","2414","93,4%","1503","857","54","121 (5,1%)","1983","84.2% (1669)","47.7% (945)"
"+ Detalhes","16","430680 - Encantado","25209","22322","88,5%","15366","6438","518","2150 (9,9%)","22706","69.1% (15694)","30.7% (6965)"
"+ Detalhes","16","430780 - Estrela","36713","32361","88,1%","21356","10044","961","3504 (11,2%)","34116","65.6% (22387)","32.2% (10971)"
"+ Detalhes","16","430807 - Fazenda Vilanova","4513","3984","88,3%","2700","1176","108","461 (11,9%)","4533","63.6% (2884)","28.4% (1288)"
"+ Detalhes","16","430843 - Forquetinha","3306","2830","85,6%","1802","958","70","347 (12,6%)","2412","72.9% (1758)","39.8% (959)"
"+ Detalhes","16","431030 - Ilópolis","5166","4803","93,0%","3122","1596","85","748 (15,9%)","4078","69.2% (2823)","36.5% (1489)"
"+ Detalhes","16","431036 - Imigrante","3755","3457","92,1%","2250","1133","74","258 (7,6%)","3120","75.0% (2341)","38.9% (1214)"
"+ Detalhes","16","431140 - Lajeado","92701","69371","74,8%","47151","19877","2343","8609 (12,8%)","84014","58.9% (49513)","26.7% (22424)"
"+ Detalhes","16","431205 - Marques de Souza","5378","4792","89,1%","3009","1684","99","735 (15,7%)","4009","70.7% (2836)","40.8% (1636)"
"+ Detalhes","16","431260 - Muçum","5933","5611","94,6%","3424","2047","140","341 (6,2%)","4954","80.0% (3963)","46.5% (2304)"
"+ Detalhes","16","431300 - Nova Bréscia","4120","4109","99,7%","2460","1574","75","207 (5,1%)","3330","82.0% (2729)","51.6% (1717)"
"+ Detalhes","16","431415 - Paverama","8862","7406","83,6%","5042","2174","190","593 (8,2%)","8487","62.9% (5340)","28.3% (2399)"
"+ Detalhes","16","431475 - Poço das Antas","2755","2464","89,4%","1524","885","55","125 (5,2%)","2098","80.0% (1679)","45.1% (947)"
"+ Detalhes","16","431513 - Pouso Novo","2317","2129","91,9%","1329","752","48","104 (5,0%)","1639","91.2% (1495)","51.3% (840)"
"+ Detalhes","16","431515 - Progresso","6909","6510","94,2%","4184","2171","155","230 (3,6%)","6244","73.1% (4562)","38.1% (2377)"
"+ Detalhes","16","431520 - Putinga","4807","4807","100,0%","2963","1757","87","145 (3,1%)","3919","85.1% (3336)","49.5% (1941)"
"+ Detalhes","16","431545 - Relvado","2663","2566","96,4%","1527","999","40","178 (7,0%)","2090","76.3% (1594)","49.4% (1032)"
"+ Detalhes","16","431580 - Roca Sales","12479","11543","92,5%","7302","3945","296","710 (6,3%)","11393","68.5% (7808)","37.7% (4298)"
"+ Detalhes","16","431675 - Santa Clara do Sul","7348","7155","97,4%","4568","2402","185","249 (3,6%)","6603","77.1% (5092)","40.5% (2673)"
"+ Detalhes","16","431846 - São José do Herval","2230","2193","98,3%","1357","786","50","185 (8,6%)","1971","76.1% (1500)","43.3% (853)"
"+ Detalhes","16","431971 - São Valentim do Sul","3003","2809","93,5%","1744","1011","54","149 (5,4%)","2242","86.2% (1933)","49.4% (1108)"
"+ Detalhes","16","432045 - Sério","2728","2487","91,2%","1547","880","60","117 (4,8%)","1962","85.6% (1679)","48.3% (947)"
"+ Detalhes","16","432130 - Taquari","29559","27467","92,9%","16968","9867","632","3035 (11,3%)","26862","62.9% (16889)","37.4% (10057)"
"+ Detalhes","16","432145 - Teutônia","34458","30564","88,7%","20951","8798","815","2410 (8,1%)","33232","66.0% (21941)","29.0% (9650)"
"+ Detalhes","16","432162 - Travesseiro","2997","2825","94,3%","1723","1047","55","165 (6,0%)","2336","79.0% (1845)","48.5% (1132)"
"+ Detalhes","16","432285 - Vespasiano Correa","2430","2372","97,6%","1483","845","44","307 (13,2%)","1815","75.2% (1365)","43.9% (797)"
"+ Detalhes","16","432377 - Westfalia","3475","3435","98,8%","2182","1173","80","201 (6,0%)","3014","75.8% (2284)","41.6% (1253)"
"+ Detalhes","17","430020 - Ajuricaba","8376","7516","89,7%","4662","2653","201","549 (7,5%)","7024","71.2% (5003)","41.0% (2882)"
"+ Detalhes","17","430150 - Augusto Pestana","8459","8493","100,4%","5230","3090","173","1343 (16,1%)","6661","74.6% (4968)","44.1% (2936)"
"+ Detalhes","17","430258 - Bozano","2729","2667","97,7%","1590","1012","65","274 (10,5%)","2123","83.6% (1774)","51.1% (1085)"
"+ Detalhes","17","430400 - Campo Novo","5317","4796","90,2%","3351","1345","100","737 (15,7%)","4484","73.0% (3274)","30.8% (1383)"
"+ Detalhes","17","430500 - Catuípe","10554","10118","95,9%","6208","3705","205","694 (7,0%)","8774","76.6% (6718)","45.8% (4018)"
"+ Detalhes","17","430540 - Chiapetta","4409","4255","96,5%","2739","1423","93","612 (14,7%)","3756","70.4% (2645)","38.2% (1435)"
"+ Detalhes","17","430570 - Condor","6981","6520","93,4%","4395","1932","193","419 (6,6%)","6753","71.7% (4841)","32.7% (2211)"
"+ Detalhes","17","430587 - Coronel Barros","3231","3240","100,3%","2009","1158","73","482 (15,2%)","2519","79.7% (2007)","49.4% (1245)"
"+ Detalhes","17","430600 - Crissiumal","16164","14684","90,8%","9618","4763","303","1410 (9,8%)","13448","70.6% (9501)","36.1% (4858)"
"+ Detalhes","17","430970 - Humaitá","5818","4981","85,6%","3257","1598","126","293 (6,0%)","4762","74.4% (3545)","37.9% (1804)"
"+ Detalhes","17","431020 - Ijuí","98383","90417","91,9%","58227","29577","2613","6530 (7,4%)","83475","73.8% (61646)","39.2% (32749)"
"+ Detalhes","17","431041 - Inhacorá","2673","2202","82,4%","1417","740","45","335 (15,5%)","2226","61.6% (1372)","33.5% (746)"
"+ Detalhes","17","431115 - Jóia","9958","7635","76,7%","5184","2252","199","869 (11,7%)","8560","65.3% (5589)","30.2% (2584)"
"+ Detalhes","17","431333 - Nova Ramada","2806","2637","94,0%","1695","882","60","262 (10,2%)","2242","78.5% (1760)","41.7% (936)"
"+ Detalhes","17","431390 - Panambi","43536","37117","85,3%","25858","10146","1113","2848 (7,9%)","43667","61.8% (26988)","26.3% (11478)"
"+ Detalhes","17","431430 - Pejuçara","4567","4471","97,9%","2795","1576","100","671 (15,4%)","3874","68.7% (2663)","40.3% (1562)"
"+ Detalhes","17","431780 - Santo Augusto","16019","14708","91,8%","9616","4692","400","1540 (10,8%)","13885","71.2% (9892)","36.3% (5041)"
"+ Detalhes","17","431910 - São Martinho","6819","6809","99,9%","4059","2608","142","219 (3,3%)","5426","82.3% (4464)","53.3% (2892)"
"+ Detalhes","17","431973 - São Valério do Sul","3733","3238","86,7%","1806","1367","65","445 (14,0%)","2727","62.0% (1692)","47.2% (1287)"
"+ Detalhes","17","432023 - Sede Nova","3222","3014","93,5%","1964","975","75","188 (6,4%)","2907","73.1% (2125)","36.5% (1062)"
"+ Detalhes","18","430105 - Arroio do Sal","13609","12414","91,2%","8156","3981","277","1944 (16,0%)","10065","90.3% (9090)","47.9% (4817)"
"+ Detalhes","18","430163 - Balneário Pinhal","17024","15218","89,4%","10314","4561","343","4289 (28,8%)","14068","69.3% (9745)","34.9% (4906)"
"+ Detalhes","18","430463 - Capão da Canoa","62209","56405","90,7%","38162","16765","1478","12821 (23,3%)","53049","70.5% (37421)","33.4% (17727)"
"+ Detalhes","18","430467 - Capivari do Sul","5229","4648","88,9%","3011","1522","115","530 (11,7%)","4660","73.3% (3415)","36.8% (1713)"
"+ Detalhes","18","430471 - Caraá","9602","8609","89,7%","5410","3014","185","2405 (28,5%)","8270","55.9% (4621)","31.1% (2575)"
"+ Detalhes","18","430545 - Cidreira","24191","19277","79,7%","12307","6311","659","6905 (37,1%)","16254","63.7% (10360)","35.1% (5712)"
"+ Detalhes","18","430655 - Dom Pedro de Alcântara","3414","3012","88,2%","2062","890","60","499 (16,9%)","2534","78.5% (1989)","37.0% (938)"
"+ Detalhes","18","431033 - Imbé","29732","26077","87,7%","16839","8604","634","7046 (27,7%)","22800","78.1% (17809)","41.6% (9484)"
"+ Detalhes","18","431065 - Itati","3397","3440","101,3%","2204","1147","89","559 (16,7%)","2419","94.0% (2274)","51.8% (1252)"
"+ Detalhes","18","431173 - Mampituba","3654","3177","86,9%","2081","1023","73","470 (15,1%)","2981","65.9% (1964)","32.6% (973)"
"+ Detalhes","18","431177 - Maquiné","9007","8422","93,5%","5225","2986","211","1596 (19,4%)","6714","78.4% (5266)","44.4% (2981)"
"+ Detalhes","18","431244 - Morrinhos do Sul","3793","3896","102,7%","2521","1270","105","369 (9,7%)","2949","87.3% (2575)","46.2% (1363)"
"+ Detalhes","18","431250 - Mostardas","14978","13612","90,9%","8674","4655","283","2147 (16,1%)","12804","68.3% (8746)","36.5% (4673)"
"+ Detalhes","18","431350 - Osório","55933","52059","93,1%","33360","17506","1193","11907 (23,4%)","45994","68.6% (31548)","35.4% (16278)"
"+ Detalhes","18","431365 - Palmares do Sul","14699","14415","98,1%","9452","4700","263","2105 (14,9%)","11318","90.4% (10229)","46.9% (5304)"
"+ Detalhes","18","431760 - Santo Antônio da Patrulha","51938","45504","87,6%","29223","15064","1217","6971 (15,7%)","42894","65.7% (28192)","35.5% (15234)"
"+ Detalhes","18","432135 - Tavares","7313","5796","79,3%","3812","1869","115","1000 (17,6%)","5481","65.8% (3609)","33.6% (1841)"
"+ Detalhes","18","432143 - Terra de Areia","12211","11818","96,8%","7519","4043","256","2605 (22,5%)","11204","63.8% (7146)","34.5% (3870)"
"+ Detalhes","18","432150 - Torres","53335","49765","93,3%","31840","16270","1655","13571 (28,2%)","38732","68.5% (26525)","36.9% (14311)"
"+ Detalhes","18","432160 - Tramandaí","64610","55105","85,3%","37261","16758","1086","16235 (30,1%)","51715","64.1% (33141)","31.3% (16201)"
"+ Detalhes","18","432166 - Três Cachoeiras","12437","11444","92,0%","7672","3511","261","1076 (9,6%)","11053","71.6% (7917)","33.7% (3727)"
"+ Detalhes","18","432183 - Três Forquilhas","3654","3477","95,2%","2109","1289","79","688 (20,2%)","2697","72.2% (1948)","45.6% (1229)"
"+ Detalhes","18","432380 - Xangri-lá","17156","15875","92,5%","10926","4540","409","3647 (23,6%)","16408","73.3% (12026)","32.9% (5398)"